ID,URL
22701,edgar/data/22701/000089710115000326/Financial_Report.xlsx
22767,edgar/data/22767/000110842615000008/Financial_Report.xlsx
23082,edgar/data/23082/000002308215000023/Financial_Report.xlsx
23111,edgar/data/23111/000002311115000002/Financial_Report.xlsx
23194,edgar/data/23194/000156459015000911/Financial_Report.xlsx
23197,edgar/data/23197/000002319715000039/Financial_Report.xlsx
23217,edgar/data/23217/000162828015005333/Financial_Report.xlsx
23426,edgar/data/23426/000007274115000013/Financial_Report.xlsx
23632,edgar/data/23632/000119312515054350/Financial_Report.xlsx
23675,edgar/data/23675/000002367515000009/Financial_Report.xlsx
23795,edgar/data/23795/000119312515069704/Financial_Report.xlsx
24090,edgar/data/24090/000002409015000018/Financial_Report.xlsx
24104,edgar/data/24104/000110465915025740/Financial_Report.xlsx
24491,edgar/data/24491/000119312515057886/Financial_Report.xlsx
24545,edgar/data/24545/000002454515000004/Financial_Report.xlsx
24741,edgar/data/24741/000002474115000015/Financial_Report.xlsx
25232,edgar/data/25232/000002523215000006/Financial_Report.xlsx
25445,edgar/data/25445/000162828015000998/Financial_Report.xlsx
25475,edgar/data/25475/000002547515000033/Financial_Report.xlsx
25598,edgar/data/25598/000002559815000013/Financial_Report.xlsx
25743,edgar/data/25743/000138713115000875/Financial_Report.xlsx
25895,edgar/data/25895/000143774915012189/Financial_Report.xlsx
26058,edgar/data/26058/000104746915001116/Financial_Report.xlsx
26076,edgar/data/26076/000110465915080772/Financial_Report.xlsx
26172,edgar/data/26172/000002617215000007/Financial_Report.xlsx
26324,edgar/data/26324/000002632415000004/Financial_Report.xlsx
26780,edgar/data/26780/000002678015000004/Financial_Report.xlsx
27093,edgar/data/27093/000117152015000463/Financial_Report.xlsx
27419,edgar/data/27419/000002741915000012/Financial_Report.xlsx
27430,edgar/data/27430/000078725015000005/Financial_Report.xlsx
27673,edgar/data/27673/000155837015002873/Financial_Report.xlsx
27879,edgar/data/27879/000119312515066324/Financial_Report.xlsx
27904,edgar/data/27904/000002790415000003/Financial_Report.xlsx
27996,edgar/data/27996/000002799615000005/Financial_Report.xlsx
28385,edgar/data/28385/000002838515000003/Financial_Report.xlsx
28412,edgar/data/28412/000002841215000031/Financial_Report.xlsx
28561,edgar/data/28561/000135448815004444/Financial_Report.xlsx
28823,edgar/data/28823/000002882315000025/Financial_Report.xlsx
28917,edgar/data/28917/000002891715000046/Financial_Report.xlsx
29002,edgar/data/29002/000156459015001204/Financial_Report.xlsx
29332,edgar/data/29332/000002933215000021/Financial_Report.xlsx
29504,edgar/data/29504/000151597115000166/Financial_Report.xlsx
29534,edgar/data/29534/000104746915002540/Financial_Report.xlsx
29644,edgar/data/29644/000089710115001507/Financial_Report.xlsx
29669,edgar/data/29669/000156459015000956/Financial_Report.xlsx
29834,edgar/data/29834/000155837015000486/Financial_Report.xlsx
29905,edgar/data/29905/000002990515000007/Financial_Report.xlsx
29915,edgar/data/29915/000002991515000011/Financial_Report.xlsx
29952,edgar/data/29952/000147793215001954/Financial_Report.xlsx
29989,edgar/data/29989/000002998915000003/Financial_Report.xlsx
30305,edgar/data/30305/000162828015002233/Financial_Report.xlsx
30371,edgar/data/30371/000132616015000008/Financial_Report.xlsx
30554,edgar/data/30554/000003055415000004/Financial_Report.xlsx
30625,edgar/data/30625/000003062515000021/Financial_Report.xlsx
30697,edgar/data/30697/000003069715000003/Financial_Report.xlsx
30831,edgar/data/30831/000114420415071496/Financial_Report.xlsx
31107,edgar/data/31107/000003110715000010/Financial_Report.xlsx
31235,edgar/data/31235/000003123515000002/Financial_Report.xlsx
31347,edgar/data/31347/000003134715000011/Financial_Report.xlsx
31462,edgar/data/31462/000110465915014788/Financial_Report.xlsx
31667,edgar/data/31667/000118518515001485/Financial_Report.xlsx
31791,edgar/data/31791/000003179115000003/Financial_Report.xlsx
31978,edgar/data/31978/000003197815000019/Financial_Report.xlsx
32166,edgar/data/32166/000003216615000028/Financial_Report.xlsx
32567,edgar/data/32567/000157587215000147/Financial_Report.xlsx
32604,edgar/data/32604/000003260415000051/Financial_Report.xlsx
32621,edgar/data/32621/000119312515252434/Financial_Report.xlsx
32689,edgar/data/32689/000104746915000973/Financial_Report.xlsx
33002,edgar/data/33002/000119312515178878/Financial_Report.xlsx
33185,edgar/data/33185/000162828015001024/Financial_Report.xlsx
33213,edgar/data/33213/000003321315000004/Financial_Report.xlsx
33488,edgar/data/33488/000114420415011858/Financial_Report.xlsx
33533,edgar/data/33533/000117494715001463/Financial_Report.xlsx
33769,edgar/data/33769/000003376915000030/Financial_Report.xlsx
33992,edgar/data/33992/000135448815001332/Financial_Report.xlsx
34067,edgar/data/34067/000003406715000018/Financial_Report.xlsx
34088,edgar/data/34088/000003408815000013/Financial_Report.xlsx
34115,edgar/data/34115/000119312515122421/Financial_Report.xlsx
34285,edgar/data/34285/000107997415000210/Financial_Report.xlsx
34563,edgar/data/34563/000003456315000047/Financial_Report.xlsx
34782,edgar/data/34782/000003478215000008/Financial_Report.xlsx
34903,edgar/data/34903/000003490315000014/Financial_Report.xlsx
34956,edgar/data/34956/000135448815003333/Financial_Report.xlsx
35214,edgar/data/35214/000156276215000041/Financial_Report.xlsx
35527,edgar/data/35527/000119312515062849/Financial_Report.xlsx
36029,edgar/data/36029/000119312515055256/Financial_Report.xlsx
36047,edgar/data/36047/000003604715000005/Financial_Report.xlsx
36104,edgar/data/36104/000119312515068728/Financial_Report.xlsx
36146,edgar/data/36146/000114036115009568/Financial_Report.xlsx
36270,edgar/data/36270/000119312515056342/Financial_Report.xlsx
36369,edgar/data/36369/000100329715000345/Financial_Report.xlsx
